"","Barrio","Clase.de.sitio","Código.DANE","New.DANE","EncBarrios","NewSitio"
"84","LENINGRADO III","VIAS PUBLICAS","ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES","13","50","1"
"85","ROCIO BAJO","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","51","1"
"86","SECTOR PARQUE LA LIBERTAD","LOCAL COMERCIAL","ARTÍCULO 239. HURTO ENTIDADES COMERCIALES","3","21","12"
"87","CORREG. (PTO CALDAS)","VIAS PUBLICAS","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","10","52","1"
"88","VILLA VERDE","VIAS PUBLICAS","ARTÍCULO 291. USO DE DOCUMENTO FALSO","8","53","1"
"89","SECTOR CARCEL LA 40","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","54","1"
"90","SECTOR PLAZA DE BOLIVAR","BANCOS","ARTÍCULO 239. HURTO ENTIDADES FINANCIERAS","5","1","13"
"91","SAN VICENTE","VIAS PUBLICAS","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","10","55","1"
"92","COROCITO","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","14","1"
"93","ORMAZA (C/ORIENTE)","VIAS PUBLICAS","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","10","56","1"
"94","PLAZA CIVICA CIUDAD VICTORIA","ALMACENES","ARTÍCULO 239. HURTO ENTIDADES COMERCIALES","3","57","3"
"95","SAN JOAQUIN","VIAS PUBLICAS","ARTÍCULO 340. CONCIERTO PARA DELINQUIR","22","27","1"
"96","CUBA V-8","VIAS PUBLICAS","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS","23","58","1"
"97","LA JULITA SECTOR","VIAS PUBLICAS","ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES","19","59","1"
"98","LA JULITA SECTOR","VIAS PUBLICAS","ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES","19","59","1"
